id,processor_id,created_at,updated_at,hw_avail,test_sponsor,hw_model,basemean,peakmean,013_spice2g6,015_doduc,034_mdljdp2,039_wave5,047_tomcatv,048_ora,052_alvinn,056_ear,077_mdljsp2,078_swm256,089_su2cor,090_hydro2d,093_nasa7,094_fpppp,link
26,846,"2014-11-17 00:05:40.169110","2014-11-17 00:05:40.169110",,Digital,"AlphaStation 600 5/266",365,405,184.3,315.3,322.3,256.9,389.7,317.1,630.3,1000,189.3,216.7,558.4,424.1,400,511.1,"http://performance.netlib.org/performance/html/spec.dec266f.cfp92.9_95.notes.html#{Digital Equipment Corporation AlphaStation 600 5/266 266MHz 21164}"
27,846,"2014-11-17 00:05:40.189852","2014-11-17 00:05:40.189852",,Digital,"AlphaStation 600 5/266",362.6,428.6,173.9,304.9,317.9,266.2,378.6,328.3,625.2,1007.9,189.3,199.4,528.7,413.9,431.9,541.2,"http://performance.netlib.org/performance/html/spec.dec85266.cfp92.3_95.notes.html#{Digital Equipment Corporation AlphaStation 600 5/266 266MHz 21164}"
28,847,"2014-11-17 00:05:40.207370","2014-11-17 00:05:40.207370",,Digital,"Digital AlphaServer 2100 5/300",420,477.3,209.4,350.9,356.3,270.1,552.1,358.5,674.6,1108.7,210.7,333.3,626.2,449.2,461.5,557.6,"http://performance.netlib.org/performance/html/spec.d21530f.cfp92.12_95.notes.html#{Digital Equipment Corporation Digital AlphaServer 2100 5/300 291MHz 21164}"
29,847,"2014-11-17 00:05:40.226918","2014-11-17 00:05:40.226918",,Digital,"Digital AlphaServer 2100A 5/300",420,477.3,209.4,350.9,356.3,270.1,552.1,358.5,674.6,1108.7,210.7,333.3,626.2,449.2,461.5,557.6,"http://performance.netlib.org/performance/html/spec.F00417.cfp92.4_96.notes.html#{Digital Equipment Corporation Digital AlphaServer 2100A 5/300 291MHz 21164}"
30,848,"2014-11-17 00:05:40.247250","2014-11-17 00:05:40.247250",,Digital,"AlphaServer 8200 5/300",444,512.9,207.1,357.7,363.6,310.9,646.3,363.7,692.8,1028.2,219,338.7,661.5,509.3,549,601.3,"http://performance.netlib.org/performance/html/spec.dec82500.cfp92.6_95.notes.html#{Digital Equipment Corporation AlphaServer 8200 5/300 300MHz 21164}"
31,848,"2014-11-17 00:05:40.267597","2014-11-17 00:05:40.267597",,Digital,"AlphaServer 8400 5/300",444,512.9,207.1,357.7,363.6,310.9,646.3,363.7,692.8,1028.2,219,338.7,661.5,509.3,549,601.3,"http://performance.netlib.org/performance/html/spec.dec84500.cfp92.6_95.notes.html#{Digital Equipment Corporation AlphaServer 8400 5/300 300MHz 21164}"
32,848,"2014-11-17 00:05:40.287164","2014-11-17 00:05:40.287164",,Digital,"AlphaStation 600 5/300",436.1,502.1,215.6,357.7,365.5,291.3,602.3,358.5,725.5,1089.7,214.7,360.8,645,480.7,465.4,575,"http://performance.netlib.org/performance/html/spec.dec300f.cfp92.9_95.notes.html#{Digital Equipment Corporation AlphaStation 600 5/300 300MHz 21164}"
33,849,"2014-11-17 00:05:40.306916","2014-11-17 00:05:40.306916",,Digital,"Digital EB164",461.8,518,237.4,404.3,412.2,319,456.9,407.7,826.9,1262.4,241,244.2,724.7,556.9,526.6,652.5,"http://performance.netlib.org/performance/html/spec.deb164f.cfp92.12_95.notes.html#{Digital Equipment Corporation Digital EB164 333 MHz 21164}"
34,849,"2014-11-17 00:05:40.332009","2014-11-17 00:05:40.332009",,Digital,"AlphaStation 600 5/333",479.2,542.3,235.5,395.7,409.8,324.6,646.3,409.9,784.7,1243.9,241,389.6,697.3,517,485.5,638.9,"http://performance.netlib.org/performance/html/spec.F00421.cfp92.4_96.notes.html#{Digital Equipment Corporation AlphaStation 600 5/333 333MHz 21164}"
35,850,"2014-11-17 00:05:40.352023","2014-11-17 00:05:40.352023",,Digital,"AlphaServer 8000 5/350",518.5,602.2,252.6,432.6,429.7,342.6,716.2,426.4,854.4,1314.4,251.9,421.9,781.8,583,561.9,676.5,"http://performance.netlib.org/performance/html/spec.d8350f.cfp92.12_95.notes.html#{Digital Equipment Corporation AlphaServer 8000 5/350 350MHz 21164}"
36,850,"2014-11-17 00:05:40.371326","2014-11-17 00:05:40.371326",,Digital,"AlphaServer 8200 5/350",518.5,602.2,252.6,432.6,429.7,342.6,716.2,426.4,854.4,1314.4,251.9,421.9,781.8,583,561.9,676.5,"http://performance.netlib.org/performance/html/spec.F00416.cfp92.4_96.notes.html#{Digital Equipment Corporation AlphaServer 8200 5/350 350MHz 21164}"
37,850,"2014-11-17 00:05:40.391412","2014-11-17 00:05:40.391412",,Digital,"AlphaServer 8400 5/350",518.5,602.2,252.6,432.6,429.7,342.6,716.2,426.4,854.4,1314.4,251.9,421.9,781.8,583,561.9,676.5,"http://performance.netlib.org/performance/html/spec.F00297.cfp92.4_96.notes.html#{Digital Equipment Corporation AlphaServer 8400 5/350 350MHz 21164}"
38,843,"2014-11-17 00:05:40.412231","2014-11-17 00:05:40.412231",,Digital,"Digital EB66+",119,123.4,66.8,120.8,157.2,75.7,67.1,187.8,258.9,351.7,95.7,37.8,134.4,184.4,110.6,104.2,"http://performance.netlib.org/performance/html/spec.decb66f.cfp92.9_95.notes.html#{Digital Equipment Corporation Digital EB66+ 233MHz LCA45}"
39,913,"2014-11-17 00:05:40.431104","2014-11-17 00:05:40.431104",,"HAL Computer Systems",330,223.7,242.8,120.6,187.9,233.2,137.5,368.1,173.4,474.7,382.9,107.4,186.5,346.8,300.4,139.3,321.7,"http://performance.netlib.org/performance/html/spec.hal330.cfp92.12_95.notes.html#{HAL Computer Systems Fujitsu HALstation 300 100MHz SPARC64}"
40,914,"2014-11-17 00:05:40.453165","2014-11-17 00:05:40.453165",,"HAL Computer Systems",350,261.1,282.8,141.1,213.8,270.6,160.9,441.7,200.5,545.4,443.5,124.5,219.3,395.7,349.5,168,383.3,"http://performance.netlib.org/performance/html/spec.hal350_1.cfp92.12_95.notes.html#{HAL Computer Systems Fujitsu HALstation 300 118MHz SPARC64}"
41,918,"2014-11-17 00:05:40.473705","2014-11-17 00:05:40.473705",,HP,720,77.7,77.9,55,68.1,86.8,55,75.1,129,184.9,137.7,39.5,42.9,93.4,76.2,55.1,100,"http://performance.netlib.org/performance/html/spec.F00122.cfp92.4_96.notes.html#{Hewlett-Packard HP 9000 Series 700 Model 720 50 MHz PA-RISC 7000}"
42,919,"2014-11-17 00:05:40.493628","2014-11-17 00:05:40.493628",,Hitachi,540,134.8,151.8,81.7,110.1,200.8,87.7,145.6,252.4,158.6,177.1,94.6,78.2,163.5,161.2,89.5,228.9,"http://performance.netlib.org/performance/html/spec.h35-540.cfp92.6_94.notes.html#{Hitachi; Ltd. Hitatchi 3500/540 100MHz PA-RISC 7100}"
43,919,"2014-11-17 00:05:40.515164","2014-11-17 00:05:40.515164",,Hitachi,550,160.5,181.2,112.4,110.7,202,93.2,166.7,253.2,189.4,177.7,94.9,84.3,269.3,230.3,198.3,229.4,"http://performance.netlib.org/performance/html/spec.hit3035b.cfp92.6_94.notes.html#{Hitachi; Ltd. Hitatchi 3500/550 100MHz PA-RISC 7100}"
44,920,"2014-11-17 00:05:40.535722","2014-11-17 00:05:40.535722",,HP,735/125,187.1,204.8,104.5,178.8,249.6,168.2,147.2,331.3,442,365.3,118.8,87.5,205.7,189,85.7,301.6,"http://performance.netlib.org/performance/html/spec.7351f.cfp92.12_95.notes.html#{Hewlett-Packard HP 9000 Series 700 Model 735/125 125 MHz PA-RISC 7100}"
45,921,"2014-11-17 00:05:40.557355","2014-11-17 00:05:40.557355",,Hitachi,510,62.2,68.6,34.8,45.7,91.6,40.8,81.8,126,67.1,85.5,45.2,43.4,69.2,54.3,44.6,111.9,"http://performance.netlib.org/performance/html/spec.h35-510.cfp92.6_94.notes.html#{Hitachi; Ltd. Hitatchi 3500/510 50MHz PA-RISC 7100}"
46,921,"2014-11-17 00:05:40.577791","2014-11-17 00:05:40.577791",,Hitachi,"Model 220/320G",62,68.3,33.8,45.5,91.6,41.1,83.1,123.1,65.4,85.4,45.1,45,68.8,56.1,43.3,110.4,"http://performance.netlib.org/performance/html/spec.hit3050.cfp92.6_94.notes.html#{Hitachi; Ltd. 3050RX Model 220/320G 50MHz PA-RISC 7100}"
47,921,"2014-11-17 00:05:40.596836","2014-11-17 00:05:40.596836",,Hitachi,520,72.8,81.9,46.3,54.9,100.3,45.4,89.5,126.2,83.3,88.7,47.2,47,95.6,88.6,56.6,114.3,"http://performance.netlib.org/performance/html/spec.h35-520b.cfp92.6_94.notes.html#{Hitachi; Ltd. Hitatchi 3500/520 50MHz PA-RISC 7100}"
48,922,"2014-11-17 00:05:40.616067","2014-11-17 00:05:40.616067",,Hitachi,530,107.7,121.3,65.1,88.2,160.8,70.2,116.2,202.2,126.5,142.1,75.6,62.5,130.6,128.6,71.4,182.9,"http://performance.netlib.org/performance/html/spec.h35-530b.cfp92.6_94.notes.html#{Hitachi; Ltd. Hitatchi 3500 530 80MHz PA-RISC 7100}"
49,922,"2014-11-17 00:05:40.633968","2014-11-17 00:05:40.633968",,Hitachi,"Model 230/330G/330T",104.6,117,62.8,87.3,160,69.3,109.5,201.6,122.1,141.4,75.3,59,123.8,123.3,65.9,182.2,"http://performance.netlib.org/performance/html/spec.hit3050b.cfp92.6_94.notes.html#{Hitachi; Ltd. 3050RX Model 230/330G/330T 80MHz PA-RISC 7100}"
50,919,"2014-11-17 00:05:40.654806","2014-11-17 00:05:40.654806",,HP,735/99,159.5,174.2,91.7,140.9,197.5,137.5,140.2,262.2,388.4,289.1,94.1,83.3,186.4,165.5,82.2,239,"http://performance.netlib.org/performance/html/spec.7359f.cfp92.12_95.notes.html#{Hewlett-Packard HP 9000 Series 700 Model 735/99 99 MHz PA-RISC 7100}"
51,924,"2014-11-17 00:05:40.713701","2014-11-17 00:05:40.713701",,HP,715/100,129.7,138.3,80,116.3,168,129.4,129.3,224.8,195.2,272.7,90.3,87,146.9,113.5,59.9,155.9,"http://performance.netlib.org/performance/html/spec.7151f.cfp92.12_95.notes.html#{Hewlett-Packard HP 9000 Series 700 Model 715/100 100 MHz PA-RISC 7100LC}"
52,924,"2014-11-17 00:05:40.730637","2014-11-17 00:05:40.730637",,HP,715/100XC,181.5,183.9,121.5,117.7,183.7,142.9,148,245.7,640.8,336,100.6,90,224.3,216.8,181,179.7,"http://performance.netlib.org/performance/html/spec.715xf.cfp92.12_95.notes.html#{Hewlett-Packard HP 9000 Series 700 Model 715/100XC 100 MHz PA-RISC 7100LC}"
53,924,"2014-11-17 00:05:40.749089","2014-11-17 00:05:40.749089",,Hewlett-Packard,715/100,128.7,137,80.2,114.1,159.3,125,132.5,245.7,170.5,265.9,89.3,84.4,137.4,113.3,73.3,148.1,"http://performance.netlib.org/performance/html/spec.hp715100.cfp92.9_94.notes.html#{Hewlett-Packard HP Series 9000 Model 715/100 100MHz PA-RISC 7100LC}"
54,926,"2014-11-17 00:05:40.774467","2014-11-17 00:05:40.774467",,HP,712/60,80.7,84.9,47.7,59.6,86,68.9,108.2,149.3,133,144.5,52.3,72.6,68.1,76.3,57.4,83.5,"http://performance.netlib.org/performance/html/spec.hpmissin.cfp92.6_94.notes.html#{Hewlett-Packard HP 9000 Model 712/60 60 MHz PA-RISC 7100LC}"
55,926,"2014-11-17 00:05:40.793048","2014-11-17 00:05:40.793048",,HP,712/60,80.7,87.3,48.1,59.6,94.4,73.1,109.1,126,176,162.4,52.5,76,77,73.5,50.9,55.4,"http://performance.netlib.org/performance/html/spec.7126f.cfp92.12_95.notes.html#{Hewlett-Packard HP 9000 Series 700 Model 712/60 60 MHz PA-RISC 7100LC}"
56,927,"2014-11-17 00:05:40.811662","2014-11-17 00:05:40.811662",,Hewlett-Packard,715/64,91,96.5,58.5,73.2,102.8,84.5,106.4,156.9,131.2,170,57.2,66.4,103.4,86.2,59.7,95.2,"http://performance.netlib.org/performance/html/spec.hp715-64.cfp92.9_94.notes.html#{Hewlett-Packard HP 9000 Series 700 Model 715/64 64MHz PA-RISC 7100LC}"
57,929,"2014-11-17 00:05:40.831110","2014-11-17 00:05:40.831110",,HP,712/80,115.1,121.8,72.9,93.5,135.6,109.8,128,179.7,197.7,218.5,72.5,85.2,137.4,109.2,61.6,124.8,"http://performance.netlib.org/performance/html/spec.7128f.cfp92.12_95.notes.html#{Hewlett-Packard HP 9000 Series 700 Model 712/80 80 MHz PA-RISC 7100LC}"
58,929,"2014-11-17 00:05:40.849735","2014-11-17 00:05:40.849735",,HP,712/80,115.1,122.3,72.4,93.5,130.6,107.2,131.8,200,167.5,212.5,72,82,134.2,112.2,74.8,120.3,"http://performance.netlib.org/performance/html/spec.hp71280.cfp92.6_94.notes.html#{Hewlett-Packard HP 9000 Model 712/80 80MHz PA-RISC 7100LC}"
59,929,"2014-11-17 00:05:40.870462","2014-11-17 00:05:40.870462",,Hewlett-Packard,E45,110.6,122.9,73.2,91.2,130.8,105.7,133.8,198.9,167.5,210.4,71.9,83.5,135.8,113.5,75.8,67.2,"http://performance.netlib.org/performance/html/spec.hpcae45.cfp92.9_94.notes.html#{Hewlett-Packard HP 9000 Model E45 80MHz PA-RISC 7100LC}"
60,929,"2014-11-17 00:05:40.955706","2014-11-17 00:05:40.955706",,Hewlett-Packard,715/80,114,120.9,73.3,91.2,128.7,106,133.2,196.3,165.4,212.1,71.7,83.1,129.3,109.1,74.7,118.6,"http://performance.netlib.org/performance/html/spec.hp715-80.cfp92.9_94.notes.html#{Hewlett-Packard HP 9000 Series 700 Model 715/80 80MHz PA-RISC 7100LC}"
61,930,"2014-11-17 00:05:40.976939","2014-11-17 00:05:40.976939",,Hewlett-Packard,E55,149.9,163.4,101.9,112,160.4,129.4,128.6,238.6,311.3,254,87.2,81,194.3,206.3,122.5,144.9,"http://performance.netlib.org/performance/html/spec.hpcae55.cfp92.9_94.notes.html#{Hewlett-Packard HP 9000 Model E55 96MHz PA-RISC 7100LC}"
62,932,"2014-11-17 00:05:40.997540","2014-11-17 00:05:40.997540",,HP,735/125,183.2,201.3,104.8,175.5,234,171.3,156.8,362,331.5,336,120.9,88.4,192.5,183.4,95.4,284.8,"http://performance.netlib.org/performance/html/spec.hp735125.cfp92.6_94.notes.html#{Hewlett-Packard HP 9000 Model 735/125 125MHz PA-RISC 7150}"
63,934,"2014-11-17 00:05:41.020154","2014-11-17 00:05:41.020154",,HP,J200,203.9,225.7,105.2,152.5,204.3,160.9,250,267.9,530.3,303.9,96,147.2,271,217.1,170,266.7,"http://performance.netlib.org/performance/html/spec.j200f.cfp92.12_95.notes.html#{Hewlett-Packard HP 9000 Model J200 100 MHz PA-RISC 7200}"
64,934,"2014-11-17 00:05:41.040398","2014-11-17 00:05:41.040398",,Hewlett-Packard,K400,198.9,221.2,103.9,156.3,201.4,158.1,252.4,239.4,502.6,296.9,98.2,146.5,249,203.9,178,250.7,"http://performance.netlib.org/performance/html/spec.hp9k4_1.cfp92.6_95.notes.html#{Hewlett-Packard Company HP9000 Model K400 100 MHz PA-RISC 7200}"
65,934,"2014-11-17 00:05:41.061436","2014-11-17 00:05:41.061436",,"Hewlett Packard",C100,202.1,223.9,104.4,152.5,203.7,160.2,243.1,267.9,512.7,303.9,96.3,146.5,268.2,215.1,165.5,266.7,"http://performance.netlib.org/performance/html/spec.c100f.cfp92.12_95.notes.html#{Hewlett Packard HP 9000 C100 100MHz PA-RISC 7200}"
66,934,"2014-11-17 00:05:41.082983","2014-11-17 00:05:41.082983",,HP,"J200 Multiprocessor",248.4,294.7,81.1,140.9,190.1,188.8,368.1,269.8,961.3,288.5,96.5,253.5,425.7,385.9,276.8,271.4,"http://performance.netlib.org/performance/html/spec.j2002f.cfp92.12_95.notes.html#{Hewlett-Packard HP 9000 Model J200 Multiprocessor 100MHz PA-RISC 7200}"
67,935,"2014-11-17 00:05:41.102857","2014-11-17 00:05:41.102857",,"Hewlett Packard",K410,244.1,270.5,125.6,182.4,243.6,191.7,297.8,321.2,630.3,361.7,116.3,176.6,328.2,260,202.9,320.6,"http://performance.netlib.org/performance/html/spec.hpk411fp.cfp92.12_95.notes.html#{Hewlett Packard Company Hewlett Packard 9000 Model K410 120 MHz PA-RISC 7200}"
68,935,"2014-11-17 00:05:41.134885","2014-11-17 00:05:41.134885",,HP,J210,244.6,270.7,126.2,184.2,244.5,192.7,301.1,321.2,635.5,363.8,115.1,176.4,324.9,260,204.1,319.4,"http://performance.netlib.org/performance/html/spec.j210f.cfp92.12_95.notes.html#{Hewlett-Packard HP 9000 Model J210 120 MHz PA-RISC 7200}"
69,935,"2014-11-17 00:05:41.181697","2014-11-17 00:05:41.181697",,HP,J210XC,278.2,305.9,168.7,184.2,245.3,197.9,327.2,321.2,835.9,364.8,116.7,186.2,435.8,314.9,355.9,323.9,"http://performance.netlib.org/performance/html/spec.F92HP4.cfp92.7_96.notes.html#{Hewlett-Packard HP 9000 Model J210XC 120 MHz PA-RISC 7200}"
70,935,"2014-11-17 00:05:41.219129","2014-11-17 00:05:41.219129",,HP,"J210 Multiprocessor",298.9,354.6,97.7,169.1,228,228.4,441.7,324,1165.2,346.5,116.3,306,513.9,466,329.4,326.2,"http://performance.netlib.org/performance/html/spec.j2102f.cfp92.12_95.notes.html#{Hewlett-Packard HP 9000 Model J210 Multiprocessor 120 MHz PA-RISC 7200}"
71,935,"2014-11-17 00:05:41.253873","2014-11-17 00:05:41.253873",,HP,"J210XC MP",319.9,386.3,121,169.1,228,220.2,434.4,324,1220.6,339.5,115.9,330.7,648.2,535.2,454.1,325.1,"http://performance.netlib.org/performance/html/spec.F92HP5.cfp92.7_96.notes.html#{Hewlett-Packard HP 9000 Model J210XC Multiprocessor 120 MHz PA-RISC 7200}"
